id;x;y;size;color;name;lang
1;15.118552;111.92863;10;0;Дом птиц;1;
2;158.74532;56.979534;10;0;Выставка амфибий;1;
3;224.12108;76.910034;8;0;Оранжерея;1;
4;99.152344;169.92175;10;0;Ластоногие;1;
5;79.394531;205.52332;8;0;Еноты;1;
6;179.36971;125.50294;10;0;Слоновник;1;
7;221.43942;199.31024;8;0;Кистеухие свиньи;1;
8;32.767548;293.35321;8;0;Непарнокопытные;1;
9;104.54488;271.96649;8;0;Овцебыки;1;
10;77.884735;282.51337;8;0;Гиеновые собаки;1;
11;75.248016;298.91962;8;0;Гривистый волк;1;
12;159.33005;277.5329;8;0;Снежные козлы;1;
13;127.68944;340.52118;8;0;Антилопы;1;
14;92.249352;348.86801;10;0;Кошачий и собачий ряд;1;
15;295.11655;292.13928;8;0;Волки;1;
16;321.92767;300.09149;10;0;Фауна России;1;
17;249.18019;339.2453;10;0;Круг катания;1;
18;36.658176;405.36099;8;0;Очковые медведи;1;
19;114.21284;415.22818;8;0;Жирафы;1;
20;108.35347;392.96255;10;0;Музей истории зоопарка;1;
21;183.52338;400.73132;10;0;Хищные птицы;1;
22;325.50189;316.06415;8;0;Сумеречный мир;1;
23;324.74545;329.45175;8;0;Ворон;1;
24;337.24155;333.47913;8;0;Соболь;1;
25;342.72845;339.05634;8;0;Куница;1;
26;354.35791;371.26566;8;0;Болотная сова;1;
27;356.8446;359.57635;8;0;Лесной хорь;1;
28;355.50378;349.28171;8;0;Степной кот;1;
29;317.31912;354.8566;8;0;Древо жизни;1;
30;366.75189;396.47818;8;0;Журавли;1;
31;388.90948;440.52209;8;0;Японские макаки;1;
32;386.08783;422.84537;8;0;Филин;1;
33;52.213715;478.43048;10;0;Кошки тропиков;1;
34;120.14253;512.16565;8;0;Фазаны;1;
35;125.38082;525.05627;8;0;Архахиарий;1;
36;135.01364;455.65787;8;0;Гепарды;1;
37;175.64391;486.07288;8;0;Фламинго;1;
38;379.93549;487.88443;8;0;Эму;1;
39;395.16986;514.25159;8;0;Капибары;1;
40;381.10736;535.34534;8;0;Гуанакко;1;
41;367.6308;547.6969;10;0;Южная Америка;1;
42;341.26361;651.36096;8;0;Кассы зоопарка;1;
43;268.60739;167.96259;8;0;Дом клюва;1;
44;267.61249;224.47766;10;0;Выставка рептилий;1;
45;174.85739;628.80237;8;0;Выход;1;
46;360.89252;609.17346;8;0;Лекторий;1;
47;423.58786;429.87662;8;0;Ленивцы;1;
48;449.07614;420.20865;8;0;Магелланов гусь;1;
49;489.98373;414.08459;8;0;Выдра;1;
50;512.65033;403.50943;8;0;Харза;1;
51;458.74411;347.8454;8;0;Земляные утки;1;
52;488.22202;339.81503;8;0;Сизая чайка;1;
53;463.4866;366.41159;10;255;Пруд на новой территории;1;
54;500.91342;359.00256;8;0;Нырковые утки;1;
55;525.47858;371.18237;8;0;Речные утки;1;
56;542.24023;331.14618;8;0;Красноухая черепаха;1;
57;581.13611;324.8501;8;0;Аквариум осетровых рыб;1;
58;584.42767;286.32196;8;0;Пеликаны;1;
59;616.36127;313.86102;8;0;Винторогий козёл;1;
60;565.9707;380.36493;8;0;Полярные совы;1;
61;605.22845;384.17352;8;0;Белые медведи;1;
62;633.06049;399.9938;8;0;Хищные птицы;1;
63;631.06;215.54131;10;0;Птицы и бабочки тропиков;1;
64;669.76111;234.2916;8;0;Чайки;1;
65;646.53705;259.95477;8;0;Рыжая свистящая утка;1;
66;674.66205;296.2829;8;0;Дикобразы;1;
67;664.11517;339.05634;8;0;Дагестанский тур;1;
68;730.32611;148.0407;8;0;Лошади Пржевальского;1;
69;772.80658;128.99774;8;0;Такины;1;
70;808.54877;148.33368;8;0;Олени Давида;1;
71;774.56439;168.25555;8;0;Львы;1;
72;740.28705;186.12663;8;0;Медведи;1;
73;732.37689;198.13837;8;0;Шакалы;1;
74;765.49408;190.96649;10;0;Остров зверей;1;
75;774.27142;230.95087;8;0;Тигры;1;
76;810.30658;230.07198;8;0;Полосатая гиена;1;
77;796.53705;207.2204;8;0;Экзотариум;1;
78;805.32611;182.61101;8;0;Волки;1;
79;790.67767;261.71259;8;0;Черные антилопы;1;
80;762.8457;277.5329;8;0;Жирафы;1;
81;774.93695;283.57681;8;0;Зебры;1;
82;779.87598;298.27985;10;0;Животные Африки;1;
83;774.93695;334.88925;8;0;Сурикаты;1;
84;868.02142;300.09149;8;0;Домашний осёл;1;
85;829.34955;371.2829;8;0;Домашняя лошадь;1;
86;707.76752;399.9938;10;0;Обезьянник;1;
87;730.4433;467.37662;10;0;Приматы;1;
88;783.35345;508.68524;10;0;Террариум;1;
89;763.72455;499.01727;8;0;Черепаха (летний вольер);1;
90;678.18939;614.01331;10;0;Контактный зоопарк;1;
91;742.90564;701.37756;8;0;Морские свинки;1;
92;745.26752;683.00159;8;0;Домашние птицы;1;
93;709.52533;711.41956;8;0;Фазаны;1;
94;745.85345;734.27112;8;0;Гуси;1;
95;819.97455;717.5719;8;0;Шиншиллы;1;
96;557.17651;433.74411;10;0;Выставка гигантских насекомых;1;
97;668.5097;425.18912;8;0;Россомахи;1;
98;590.68683;393.74954;10;0;Полярный мир;1;
99;858.93939;336.71259;10;0;Конюшня;1;
100;684.03705;669.23206;10;0;Детский зоопарк;1;
101;866.84955;733.39221;8;0;Вход, выход касса;1;
102;390.90186;357.60162;8;0;Выход;1;
103;248.17789;500.13824;10;255;Большой пруд;1;
104;22.787621;82.403564;8;0;Пингвины;1;
